97,47,60,54,19,8,2,48,2,41
87,18,26,29,78,39,15,3,10,40
19,23,66,89,0,3,11,25,63,16
36,80,43,51,52,88,4,30,58,17
94,70,41,96,13,84,36,14,78,81
43,6,73,5,53,34,51,21,33,89
66,84,69,4,52,25,24,72,27,31
62,70,96,79,26,96,62,31,41,48
87,69,79,67,11,95,92,36,68,61
24,8,18,15,53,6,81,30,27,49
入れ替え:1番目（97）,2番目（47）
入れ替え:11番目（47）,12番目（3）
入れ替え:10番目（41）,11番目（3）
入れ替え:9番目（39）,10番目（3）
入れ替え:8番目（29）,9番目（3）
入れ替え:7番目（26）,8番目（3）
入れ替え:6番目（19）,7番目（3）
入れ替え:5番目（18）,6番目（3）
入れ替え:4番目（15）,5番目（3）
入れ替え:3番目（8）,4番目（3）
入れ替え:18番目（97）,19番目（10）
入れ替え:17番目（87）,18番目（10）
入れ替え:16番目（78）,17番目（10）
入れ替え:15番目（60）,16番目（10）
入れ替え:14番目（54）,15番目（10）
入れ替え:13番目（48）,14番目（10）
入れ替え:12番目（47）,13番目（10）
入れ替え:11番目（41）,12番目（10）
入れ替え:10番目（39）,11番目（10）
入れ替え:9番目（29）,10番目（10）
入れ替え:8番目（26）,9番目（10）
入れ替え:7番目（19）,8番目（10）
入れ替え:6番目（18）,7番目（10）
入れ替え:5番目（15）,6番目（10）
入れ替え:19番目（97）,20番目（40）
入れ替え:18番目（87）,19番目（40）
入れ替え:17番目（78）,18番目（40）
入れ替え:16番目（60）,17番目（40）
入れ替え:15番目（54）,16番目（40）
入れ替え:14番目（48）,15番目（40）
入れ替え:13番目（47）,14番目（40）
入れ替え:12番目（41）,13番目（40）
入れ替え:20番目（97）,21番目（19）
入れ替え:19番目（87）,20番目（19）
入れ替え:18番目（78）,19番目（19）
入れ替え:17番目（60）,18番目（19）
入れ替え:16番目（54）,17番目（19）
入れ替え:15番目（48）,16番目（19）
入れ替え:14番目（47）,15番目（19）
入れ替え:13番目（41）,14番目（19）
入れ替え:12番目（40）,13番目（19）
入れ替え:11番目（39）,12番目（19）
入れ替え:10番目（29）,11番目（19）
入れ替え:9番目（26）,10番目（19）
入れ替え:21番目（97）,22番目（23）
入れ替え:20番目（87）,21番目（23）
入れ替え:19番目（78）,20番目（23）
入れ替え:18番目（60）,19番目（23）
入れ替え:17番目（54）,18番目（23）
入れ替え:16番目（48）,17番目（23）
入れ替え:15番目（47）,16番目（23）
入れ替え:14番目（41）,15番目（23）
入れ替え:13番目（40）,14番目（23）
入れ替え:12番目（39）,13番目（23）
入れ替え:11番目（29）,12番目（23）
入れ替え:10番目（26）,11番目（23）
入れ替え:22番目（97）,23番目（66）
入れ替え:21番目（87）,22番目（66）
入れ替え:20番目（78）,21番目（66）
入れ替え:23番目（97）,24番目（89）
入れ替え:24番目（97）,25番目（0）
入れ替え:23番目（89）,24番目（0）
入れ替え:22番目（87）,23番目（0）
入れ替え:21番目（78）,22番目（0）
入れ替え:20番目（66）,21番目（0）
入れ替え:19番目（60）,20番目（0）
入れ替え:18番目（54）,19番目（0）
入れ替え:17番目（48）,18番目（0）
入れ替え:16番目（47）,17番目（0）
入れ替え:15番目（41）,16番目（0）
入れ替え:14番目（40）,15番目（0）
入れ替え:13番目（39）,14番目（0）
入れ替え:12番目（29）,13番目（0）
入れ替え:11番目（26）,12番目（0）
入れ替え:10番目（23）,11番目（0）
入れ替え:9番目（19）,10番目（0）
入れ替え:8番目（19）,9番目（0）
入れ替え:7番目（18）,8番目（0）
入れ替え:6番目（15）,7番目（0）
入れ替え:5番目（10）,6番目（0）
入れ替え:4番目（8）,5番目（0）
入れ替え:3番目（3）,4番目（0）
入れ替え:2番目（2）,3番目（0）
入れ替え:1番目（2）,2番目（0）
入れ替え:25番目（97）,26番目（3）
入れ替え:24番目（89）,25番目（3）
入れ替え:23番目（87）,24番目（3）
入れ替え:22番目（78）,23番目（3）
入れ替え:21番目（66）,22番目（3）
入れ替え:20番目（60）,21番目（3）
入れ替え:19番目（54）,20番目（3）
入れ替え:18番目（48）,19番目（3）
入れ替え:17番目（47）,18番目（3）
入れ替え:16番目（41）,17番目（3）
入れ替え:15番目（40）,16番目（3）
入れ替え:14番目（39）,15番目（3）
入れ替え:13番目（29）,14番目（3）
入れ替え:12番目（26）,13番目（3）
入れ替え:11番目（23）,12番目（3）
入れ替え:10番目（19）,11番目（3）
入れ替え:9番目（19）,10番目（3）
入れ替え:8番目（18）,9番目（3）
入れ替え:7番目（15）,8番目（3）
入れ替え:6番目（10）,7番目（3）
入れ替え:5番目（8）,6番目（3）
入れ替え:26番目（97）,27番目（11）
入れ替え:25番目（89）,26番目（11）
入れ替え:24番目（87）,25番目（11）
入れ替え:23番目（78）,24番目（11）
入れ替え:22番目（66）,23番目（11）
入れ替え:21番目（60）,22番目（11）
入れ替え:20番目（54）,21番目（11）
入れ替え:19番目（48）,20番目（11）
入れ替え:18番目（47）,19番目（11）
入れ替え:17番目（41）,18番目（11）
入れ替え:16番目（40）,17番目（11）
入れ替え:15番目（39）,16番目（11）
入れ替え:14番目（29）,15番目（11）
入れ替え:13番目（26）,14番目（11）
入れ替え:12番目（23）,13番目（11）
入れ替え:11番目（19）,12番目（11）
入れ替え:10番目（19）,11番目（11）
入れ替え:9番目（18）,10番目（11）
入れ替え:8番目（15）,9番目（11）
入れ替え:27番目（97）,28番目（25）
入れ替え:26番目（89）,27番目（25）
入れ替え:25番目（87）,26番目（25）
入れ替え:24番目（78）,25番目（25）
入れ替え:23番目（66）,24番目（25）
入れ替え:22番目（60）,23番目（25）
入れ替え:21番目（54）,22番目（25）
入れ替え:20番目（48）,21番目（25）
入れ替え:19番目（47）,20番目（25）
入れ替え:18番目（41）,19番目（25）
入れ替え:17番目（40）,18番目（25）
入れ替え:16番目（39）,17番目（25）
入れ替え:15番目（29）,16番目（25）
入れ替え:14番目（26）,15番目（25）
入れ替え:28番目（97）,29番目（63）
入れ替え:27番目（89）,28番目（63）
入れ替え:26番目（87）,27番目（63）
入れ替え:25番目（78）,26番目（63）
入れ替え:24番目（66）,25番目（63）
入れ替え:29番目（97）,30番目（16）
入れ替え:28番目（89）,29番目（16）
入れ替え:27番目（87）,28番目（16）
入れ替え:26番目（78）,27番目（16）
入れ替え:25番目（66）,26番目（16）
入れ替え:24番目（63）,25番目（16）
入れ替え:23番目（60）,24番目（16）
入れ替え:22番目（54）,23番目（16）
入れ替え:21番目（48）,22番目（16）
入れ替え:20番目（47）,21番目（16）
入れ替え:19番目（41）,20番目（16）
入れ替え:18番目（40）,19番目（16）
入れ替え:17番目（39）,18番目（16）
入れ替え:16番目（29）,17番目（16）
入れ替え:15番目（26）,16番目（16）
入れ替え:14番目（25）,15番目（16）
入れ替え:13番目（23）,14番目（16）
入れ替え:12番目（19）,13番目（16）
入れ替え:11番目（19）,12番目（16）
入れ替え:10番目（18）,11番目（16）
入れ替え:30番目（97）,31番目（36）
入れ替え:29番目（89）,30番目（36）
入れ替え:28番目（87）,29番目（36）
入れ替え:27番目（78）,28番目（36）
入れ替え:26番目（66）,27番目（36）
入れ替え:25番目（63）,26番目（36）
入れ替え:24番目（60）,25番目（36）
入れ替え:23番目（54）,24番目（36）
入れ替え:22番目（48）,23番目（36）
入れ替え:21番目（47）,22番目（36）
入れ替え:20番目（41）,21番目（36）
入れ替え:19番目（40）,20番目（36）
入れ替え:18番目（39）,19番目（36）
入れ替え:31番目（97）,32番目（80）
入れ替え:30番目（89）,31番目（80）
入れ替え:29番目（87）,30番目（80）
入れ替え:32番目（97）,33番目（43）
入れ替え:31番目（89）,32番目（43）
入れ替え:30番目（87）,31番目（43）
入れ替え:29番目（80）,30番目（43）
入れ替え:28番目（78）,29番目（43）
入れ替え:27番目（66）,28番目（43）
入れ替え:26番目（63）,27番目（43）
入れ替え:25番目（60）,26番目（43）
入れ替え:24番目（54）,25番目（43）
入れ替え:23番目（48）,24番目（43）
入れ替え:22番目（47）,23番目（43）
入れ替え:33番目（97）,34番目（51）
入れ替え:32番目（89）,33番目（51）
入れ替え:31番目（87）,32番目（51）
入れ替え:30番目（80）,31番目（51）
入れ替え:29番目（78）,30番目（51）
入れ替え:28番目（66）,29番目（51）
入れ替え:27番目（63）,28番目（51）
入れ替え:26番目（60）,27番目（51）
入れ替え:25番目（54）,26番目（51）
入れ替え:34番目（97）,35番目（52）
入れ替え:33番目（89）,34番目（52）
入れ替え:32番目（87）,33番目（52）
入れ替え:31番目（80）,32番目（52）
入れ替え:30番目（78）,31番目（52）
入れ替え:29番目（66）,30番目（52）
入れ替え:28番目（63）,29番目（52）
入れ替え:27番目（60）,28番目（52）
入れ替え:26番目（54）,27番目（52）
入れ替え:35番目（97）,36番目（88）
入れ替え:34番目（89）,35番目（88）
入れ替え:36番目（97）,37番目（4）
入れ替え:35番目（89）,36番目（4）
入れ替え:34番目（88）,35番目（4）
入れ替え:33番目（87）,34番目（4）
入れ替え:32番目（80）,33番目（4）
入れ替え:31番目（78）,32番目（4）
入れ替え:30番目（66）,31番目（4）
入れ替え:29番目（63）,30番目（4）
入れ替え:28番目（60）,29番目（4）
入れ替え:27番目（54）,28番目（4）
入れ替え:26番目（52）,27番目（4）
入れ替え:25番目（51）,26番目（4）
入れ替え:24番目（48）,25番目（4）
入れ替え:23番目（47）,24番目（4）
入れ替え:22番目（43）,23番目（4）
入れ替え:21番目（41）,22番目（4）
入れ替え:20番目（40）,21番目（4）
入れ替え:19番目（39）,20番目（4）
入れ替え:18番目（36）,19番目（4）
入れ替え:17番目（29）,18番目（4）
入れ替え:16番目（26）,17番目（4）
入れ替え:15番目（25）,16番目（4）
入れ替え:14番目（23）,15番目（4）
入れ替え:13番目（19）,14番目（4）
入れ替え:12番目（19）,13番目（4）
入れ替え:11番目（18）,12番目（4）
入れ替え:10番目（16）,11番目（4）
入れ替え:9番目（15）,10番目（4）
入れ替え:8番目（11）,9番目（4）
入れ替え:7番目（10）,8番目（4）
入れ替え:6番目（8）,7番目（4）
入れ替え:37番目（97）,38番目（30）
入れ替え:36番目（89）,37番目（30）
入れ替え:35番目（88）,36番目（30）
入れ替え:34番目（87）,35番目（30）
入れ替え:33番目（80）,34番目（30）
入れ替え:32番目（78）,33番目（30）
入れ替え:31番目（66）,32番目（30）
入れ替え:30番目（63）,31番目（30）
入れ替え:29番目（60）,30番目（30）
入れ替え:28番目（54）,29番目（30）
入れ替え:27番目（52）,28番目（30）
入れ替え:26番目（51）,27番目（30）
入れ替え:25番目（48）,26番目（30）
入れ替え:24番目（47）,25番目（30）
入れ替え:23番目（43）,24番目（30）
入れ替え:22番目（41）,23番目（30）
入れ替え:21番目（40）,22番目（30）
入れ替え:20番目（39）,21番目（30）
入れ替え:19番目（36）,20番目（30）
入れ替え:38番目（97）,39番目（58）
入れ替え:37番目（89）,38番目（58）
入れ替え:36番目（88）,37番目（58）
入れ替え:35番目（87）,36番目（58）
入れ替え:34番目（80）,35番目（58）
入れ替え:33番目（78）,34番目（58）
入れ替え:32番目（66）,33番目（58）
入れ替え:31番目（63）,32番目（58）
入れ替え:30番目（60）,31番目（58）
入れ替え:39番目（97）,40番目（17）
入れ替え:38番目（89）,39番目（17）
入れ替え:37番目（88）,38番目（17）
入れ替え:36番目（87）,37番目（17）
入れ替え:35番目（80）,36番目（17）
入れ替え:34番目（78）,35番目（17）
入れ替え:33番目（66）,34番目（17）
入れ替え:32番目（63）,33番目（17）
入れ替え:31番目（60）,32番目（17）
入れ替え:30番目（58）,31番目（17）
入れ替え:29番目（54）,30番目（17）
入れ替え:28番目（52）,29番目（17）
入れ替え:27番目（51）,28番目（17）
入れ替え:26番目（48）,27番目（17）
入れ替え:25番目（47）,26番目（17）
入れ替え:24番目（43）,25番目（17）
入れ替え:23番目（41）,24番目（17）
入れ替え:22番目（40）,23番目（17）
入れ替え:21番目（39）,22番目（17）
入れ替え:20番目（36）,21番目（17）
入れ替え:19番目（30）,20番目（17）
入れ替え:18番目（29）,19番目（17）
入れ替え:17番目（26）,18番目（17）
入れ替え:16番目（25）,17番目（17）
入れ替え:15番目（23）,16番目（17）
入れ替え:14番目（19）,15番目（17）
入れ替え:13番目（19）,14番目（17）
入れ替え:12番目（18）,13番目（17）
入れ替え:40番目（97）,41番目（94）
入れ替え:41番目（97）,42番目（70）
入れ替え:40番目（94）,41番目（70）
入れ替え:39番目（89）,40番目（70）
入れ替え:38番目（88）,39番目（70）
入れ替え:37番目（87）,38番目（70）
入れ替え:36番目（80）,37番目（70）
入れ替え:35番目（78）,36番目（70）
入れ替え:42番目（97）,43番目（41）
入れ替え:41番目（94）,42番目（41）
入れ替え:40番目（89）,41番目（41）
入れ替え:39番目（88）,40番目（41）
入れ替え:38番目（87）,39番目（41）
入れ替え:37番目（80）,38番目（41）
入れ替え:36番目（78）,37番目（41）
入れ替え:35番目（70）,36番目（41）
入れ替え:34番目（66）,35番目（41）
入れ替え:33番目（63）,34番目（41）
入れ替え:32番目（60）,33番目（41）
入れ替え:31番目（58）,32番目（41）
入れ替え:30番目（54）,31番目（41）
入れ替え:29番目（52）,30番目（41）
入れ替え:28番目（51）,29番目（41）
入れ替え:27番目（48）,28番目（41）
入れ替え:26番目（47）,27番目（41）
入れ替え:25番目（43）,26番目（41）
入れ替え:43番目（97）,44番目（96）
入れ替え:44番目（97）,45番目（13）
入れ替え:43番目（96）,44番目（13）
入れ替え:42番目（94）,43番目（13）
入れ替え:41番目（89）,42番目（13）
入れ替え:40番目（88）,41番目（13）
入れ替え:39番目（87）,40番目（13）
入れ替え:38番目（80）,39番目（13）
入れ替え:37番目（78）,38番目（13）
入れ替え:36番目（70）,37番目（13）
入れ替え:35番目（66）,36番目（13）
入れ替え:34番目（63）,35番目（13）
入れ替え:33番目（60）,34番目（13）
入れ替え:32番目（58）,33番目（13）
入れ替え:31番目（54）,32番目（13）
入れ替え:30番目（52）,31番目（13）
入れ替え:29番目（51）,30番目（13）
入れ替え:28番目（48）,29番目（13）
入れ替え:27番目（47）,28番目（13）
入れ替え:26番目（43）,27番目（13）
入れ替え:25番目（41）,26番目（13）
入れ替え:24番目（41）,25番目（13）
入れ替え:23番目（40）,24番目（13）
入れ替え:22番目（39）,23番目（13）
入れ替え:21番目（36）,22番目（13）
入れ替え:20番目（30）,21番目（13）
入れ替え:19番目（29）,20番目（13）
入れ替え:18番目（26）,19番目（13）
入れ替え:17番目（25）,18番目（13）
入れ替え:16番目（23）,17番目（13）
入れ替え:15番目（19）,16番目（13）
入れ替え:14番目（19）,15番目（13）
入れ替え:13番目（18）,14番目（13）
入れ替え:12番目（17）,13番目（13）
入れ替え:11番目（16）,12番目（13）
入れ替え:10番目（15）,11番目（13）
入れ替え:45番目（97）,46番目（84）
入れ替え:44番目（96）,45番目（84）
入れ替え:43番目（94）,44番目（84）
入れ替え:42番目（89）,43番目（84）
入れ替え:41番目（88）,42番目（84）
入れ替え:40番目（87）,41番目（84）
入れ替え:46番目（97）,47番目（36）
入れ替え:45番目（96）,46番目（36）
入れ替え:44番目（94）,45番目（36）
入れ替え:43番目（89）,44番目（36）
入れ替え:42番目（88）,43番目（36）
入れ替え:41番目（87）,42番目（36）
入れ替え:40番目（84）,41番目（36）
入れ替え:39番目（80）,40番目（36）
入れ替え:38番目（78）,39番目（36）
入れ替え:37番目（70）,38番目（36）
入れ替え:36番目（66）,37番目（36）
入れ替え:35番目（63）,36番目（36）
入れ替え:34番目（60）,35番目（36）
入れ替え:33番目（58）,34番目（36）
入れ替え:32番目（54）,33番目（36）
入れ替え:31番目（52）,32番目（36）
入れ替え:30番目（51）,31番目（36）
入れ替え:29番目（48）,30番目（36）
入れ替え:28番目（47）,29番目（36）
入れ替え:27番目（43）,28番目（36）
入れ替え:26番目（41）,27番目（36）
入れ替え:25番目（41）,26番目（36）
入れ替え:24番目（40）,25番目（36）
入れ替え:23番目（39）,24番目（36）
入れ替え:47番目（97）,48番目（14）
入れ替え:46番目（96）,47番目（14）
入れ替え:45番目（94）,46番目（14）
入れ替え:44番目（89）,45番目（14）
入れ替え:43番目（88）,44番目（14）
入れ替え:42番目（87）,43番目（14）
入れ替え:41番目（84）,42番目（14）
入れ替え:40番目（80）,41番目（14）
入れ替え:39番目（78）,40番目（14）
入れ替え:38番目（70）,39番目（14）
入れ替え:37番目（66）,38番目（14）
入れ替え:36番目（63）,37番目（14）
入れ替え:35番目（60）,36番目（14）
入れ替え:34番目（58）,35番目（14）
入れ替え:33番目（54）,34番目（14）
入れ替え:32番目（52）,33番目（14）
入れ替え:31番目（51）,32番目（14）
入れ替え:30番目（48）,31番目（14）
入れ替え:29番目（47）,30番目（14）
入れ替え:28番目（43）,29番目（14）
入れ替え:27番目（41）,28番目（14）
入れ替え:26番目（41）,27番目（14）
入れ替え:25番目（40）,26番目（14）
入れ替え:24番目（39）,25番目（14）
入れ替え:23番目（36）,24番目（14）
入れ替え:22番目（36）,23番目（14）
入れ替え:21番目（30）,22番目（14）
入れ替え:20番目（29）,21番目（14）
入れ替え:19番目（26）,20番目（14）
入れ替え:18番目（25）,19番目（14）
入れ替え:17番目（23）,18番目（14）
入れ替え:16番目（19）,17番目（14）
入れ替え:15番目（19）,16番目（14）
入れ替え:14番目（18）,15番目（14）
入れ替え:13番目（17）,14番目（14）
入れ替え:12番目（16）,13番目（14）
入れ替え:11番目（15）,12番目（14）
入れ替え:48番目（97）,49番目（78）
入れ替え:47番目（96）,48番目（78）
入れ替え:46番目（94）,47番目（78）
入れ替え:45番目（89）,46番目（78）
入れ替え:44番目（88）,45番目（78）
入れ替え:43番目（87）,44番目（78）
入れ替え:42番目（84）,43番目（78）
入れ替え:41番目（80）,42番目（78）
入れ替え:49番目（97）,50番目（81）
入れ替え:48番目（96）,49番目（81）
入れ替え:47番目（94）,48番目（81）
入れ替え:46番目（89）,47番目（81）
入れ替え:45番目（88）,46番目（81）
入れ替え:44番目（87）,45番目（81）
入れ替え:43番目（84）,44番目（81）
入れ替え:50番目（97）,51番目（43）
入れ替え:49番目（96）,50番目（43）
入れ替え:48番目（94）,49番目（43）
入れ替え:47番目（89）,48番目（43）
入れ替え:46番目（88）,47番目（43）
入れ替え:45番目（87）,46番目（43）
入れ替え:44番目（84）,45番目（43）
入れ替え:43番目（81）,44番目（43）
入れ替え:42番目（80）,43番目（43）
入れ替え:41番目（78）,42番目（43）
入れ替え:40番目（78）,41番目（43）
入れ替え:39番目（70）,40番目（43）
入れ替え:38番目（66）,39番目（43）
入れ替え:37番目（63）,38番目（43）
入れ替え:36番目（60）,37番目（43）
入れ替え:35番目（58）,36番目（43）
入れ替え:34番目（54）,35番目（43）
入れ替え:33番目（52）,34番目（43）
入れ替え:32番目（51）,33番目（43）
入れ替え:31番目（48）,32番目（43）
入れ替え:30番目（47）,31番目（43）
入れ替え:51番目（97）,52番目（6）
入れ替え:50番目（96）,51番目（6）
入れ替え:49番目（94）,50番目（6）
入れ替え:48番目（89）,49番目（6）
入れ替え:47番目（88）,48番目（6）
入れ替え:46番目（87）,47番目（6）
入れ替え:45番目（84）,46番目（6）
入れ替え:44番目（81）,45番目（6）
入れ替え:43番目（80）,44番目（6）
入れ替え:42番目（78）,43番目（6）
入れ替え:41番目（78）,42番目（6）
入れ替え:40番目（70）,41番目（6）
入れ替え:39番目（66）,40番目（6）
入れ替え:38番目（63）,39番目（6）
入れ替え:37番目（60）,38番目（6）
入れ替え:36番目（58）,37番目（6）
入れ替え:35番目（54）,36番目（6）
入れ替え:34番目（52）,35番目（6）
入れ替え:33番目（51）,34番目（6）
入れ替え:32番目（48）,33番目（6）
入れ替え:31番目（47）,32番目（6）
入れ替え:30番目（43）,31番目（6）
入れ替え:29番目（43）,30番目（6）
入れ替え:28番目（41）,29番目（6）
入れ替え:27番目（41）,28番目（6）
入れ替え:26番目（40）,27番目（6）
入れ替え:25番目（39）,26番目（6）
入れ替え:24番目（36）,25番目（6）
入れ替え:23番目（36）,24番目（6）
入れ替え:22番目（30）,23番目（6）
入れ替え:21番目（29）,22番目（6）
入れ替え:20番目（26）,21番目（6）
入れ替え:19番目（25）,20番目（6）
入れ替え:18番目（23）,19番目（6）
入れ替え:17番目（19）,18番目（6）
入れ替え:16番目（19）,17番目（6）
入れ替え:15番目（18）,16番目（6）
入れ替え:14番目（17）,15番目（6）
入れ替え:13番目（16）,14番目（6）
入れ替え:12番目（15）,13番目（6）
入れ替え:11番目（14）,12番目（6）
入れ替え:10番目（13）,11番目（6）
入れ替え:9番目（11）,10番目（6）
入れ替え:8番目（10）,9番目（6）
入れ替え:7番目（8）,8番目（6）
入れ替え:52番目（97）,53番目（73）
入れ替え:51番目（96）,52番目（73）
入れ替え:50番目（94）,51番目（73）
入れ替え:49番目（89）,50番目（73）
入れ替え:48番目（88）,49番目（73）
入れ替え:47番目（87）,48番目（73）
入れ替え:46番目（84）,47番目（73）
入れ替え:45番目（81）,46番目（73）
入れ替え:44番目（80）,45番目（73）
入れ替え:43番目（78）,44番目（73）
入れ替え:42番目（78）,43番目（73）
入れ替え:53番目（97）,54番目（5）
入れ替え:52番目（96）,53番目（5）
入れ替え:51番目（94）,52番目（5）
入れ替え:50番目（89）,51番目（5）
入れ替え:49番目（88）,50番目（5）
入れ替え:48番目（87）,49番目（5）
入れ替え:47番目（84）,48番目（5）
入れ替え:46番目（81）,47番目（5）
入れ替え:45番目（80）,46番目（5）
入れ替え:44番目（78）,45番目（5）
入れ替え:43番目（78）,44番目（5）
入れ替え:42番目（73）,43番目（5）
入れ替え:41番目（70）,42番目（5）
入れ替え:40番目（66）,41番目（5）
入れ替え:39番目（63）,40番目（5）
入れ替え:38番目（60）,39番目（5）
入れ替え:37番目（58）,38番目（5）
入れ替え:36番目（54）,37番目（5）
入れ替え:35番目（52）,36番目（5）
入れ替え:34番目（51）,35番目（5）
入れ替え:33番目（48）,34番目（5）
入れ替え:32番目（47）,33番目（5）
入れ替え:31番目（43）,32番目（5）
入れ替え:30番目（43）,31番目（5）
入れ替え:29番目（41）,30番目（5）
入れ替え:28番目（41）,29番目（5）
入れ替え:27番目（40）,28番目（5）
入れ替え:26番目（39）,27番目（5）
入れ替え:25番目（36）,26番目（5）
入れ替え:24番目（36）,25番目（5）
入れ替え:23番目（30）,24番目（5）
入れ替え:22番目（29）,23番目（5）
入れ替え:21番目（26）,22番目（5）
入れ替え:20番目（25）,21番目（5）
入れ替え:19番目（23）,20番目（5）
入れ替え:18番目（19）,19番目（5）
入れ替え:17番目（19）,18番目（5）
入れ替え:16番目（18）,17番目（5）
入れ替え:15番目（17）,16番目（5）
入れ替え:14番目（16）,15番目（5）
入れ替え:13番目（15）,14番目（5）
入れ替え:12番目（14）,13番目（5）
入れ替え:11番目（13）,12番目（5）
入れ替え:10番目（11）,11番目（5）
入れ替え:9番目（10）,10番目（5）
入れ替え:8番目（8）,9番目（5）
入れ替え:7番目（6）,8番目（5）
入れ替え:54番目（97）,55番目（53）
入れ替え:53番目（96）,54番目（53）
入れ替え:52番目（94）,53番目（53）
入れ替え:51番目（89）,52番目（53）
入れ替え:50番目（88）,51番目（53）
入れ替え:49番目（87）,50番目（53）
入れ替え:48番目（84）,49番目（53）
入れ替え:47番目（81）,48番目（53）
入れ替え:46番目（80）,47番目（53）
入れ替え:45番目（78）,46番目（53）
入れ替え:44番目（78）,45番目（53）
入れ替え:43番目（73）,44番目（53）
入れ替え:42番目（70）,43番目（53）
入れ替え:41番目（66）,42番目（53）
入れ替え:40番目（63）,41番目（53）
入れ替え:39番目（60）,40番目（53）
入れ替え:38番目（58）,39番目（53）
入れ替え:37番目（54）,38番目（53）
入れ替え:55番目（97）,56番目（34）
入れ替え:54番目（96）,55番目（34）
入れ替え:53番目（94）,54番目（34）
入れ替え:52番目（89）,53番目（34）
入れ替え:51番目（88）,52番目（34）
入れ替え:50番目（87）,51番目（34）
入れ替え:49番目（84）,50番目（34）
入れ替え:48番目（81）,49番目（34）
入れ替え:47番目（80）,48番目（34）
入れ替え:46番目（78）,47番目（34）
入れ替え:45番目（78）,46番目（34）
